id	code
109	31
115	31
205	31
1	3
19	3
29	3
37	3
65	3
75	3
79	3
91	3
94	3
106	3
125	3
146	3
147	3
154	3
165	3
179	3
185	3
189	3
190	3
192	3
42	4
50	4
90	4
106	4
109	4
143	4
8	5
18	5
20	5
24	5
34	5
36	5
100	5
109	5
115	5
129	5
142	5
176	5
190	5
94	6
40	24
7	2
18	2
34	2
35	2
41	2
62	2
87	2
91	2
93	2
97	2
98	2
132	2
134	2
137	2
143	2
145	2
146	2
148	2
160	2
185	2
190	2
191	2
205	2
51	11
55	11
85	11
108	11
111	11
120	11
123	11
140	11
178	11
17	8
58	8
74	8
79	8
84	8
101	8
113	8
131	8
147	8
152	8
154	8
160	8
193	8
20	7
129	7
165	7
168	7
164	12
45	9
109	9
115	9
48	13
184	13
1	1
2	1
5	1
9	1
12	1
15	1
16	1
19	1
30	1
31	1
73	1
77	1
107	1
121	1
127	1
130	1
133	1
135	1
139	1
151	1
153	1
156	1
189	1
198	1
105	1
119	1
161	1
31	14
50	14
58	14
64	14
90	14
105	14
107	14
121	14
30	10
32	10
44	10
58	10
64	10
90	10
100	10
119	10
126	10
132	10
135	10
139	10
145	10
151	10
152	10
193	10
38	15
68	15
69	15
70	15
138	15
141	15
197	15
11	25
177	25
25	16
71	16
10	17
13	17
16	17
27	17
32	17
104	17
156	17
181	17
4	18
11	18
14	18
32	18
44	18
59	18
60	18
78	18
80	18
81	18
82	18
83	18
86	18
88	18
89	18
96	18
99	18
102	18
113	18
116	18
124	18
127	18
128	18
133	18
149	18
150	18
155	18
171	18
172	18
173	18
174	18
175	18
187	18
188	18
196	18
199	18
203	18
3	19
22	19
33	19
54	19
122	19
158	19
162	19
163	19
200	19
201	19
202	19
45	33
19	26
29	26
35	26
37	26
63	26
76	26
77	26
101	26
125	26
130	26
131	26
153	26
161	26
192	26
198	26
26	20
39	20
56	20
137	20
47	21
58	21
114	21
84	28
206	28
6	29
39	29
41	29
42	29
52	29
54	29
59	29
68	29
87	29
97	29
98	29
103	29
141	29
148	29
169	29
180	29
205	29
206	29
52	30
62	30
134	30
141	30
159	30
166	30
180	30
28	22
118	22
182	22
183	22
45	27
57	27
76	27
61	23
186	23
1	32
21	8
23	19
43	18
46	29
49	34
53	18
66	18
67	15
95	15
112	26
117	26
136	5
157	5
167	26
170	29
204	18
